,shcode,index
0,000080,20190424
1,000140,20190708 20190729
2,000150,20190416 20190726
3,000230,20191106
4,000300,20190510
5,000390,20190725
6,000400,20190903
7,000430,20190212 20190226
8,000885,20190423 20190430 20190927
9,000890,20190403 20190515 20190520 20190905
10,000910,20190114 20190115 20190513 20190521 20190522 20190523 20190808 20190809 20190812
11,000970,20190618 20190619 20190621
12,000990,20190419
13,001045,20190422
14,001140,20190313 20190318 20190619 20191105
15,001210,20191105 20191107
16,001340,20190604 20190917
17,001360,20190424 20190828 20191016 20191031 20191101
18,001380,20181206 20190213 20190612 20190614
19,001440,20190927
20,001550,20190111 20190114 20190508 20190517
21,001740,20190103 20190416
22,001745,20190418
23,001770,20190830
24,001790,20190919 20190920
25,001820,20190716 20190905
26,002020,20190705 20190822 20191014
27,002070,20190725 20190726 20191018 20191021 20191022
28,002100,20181204 20190114 20190411 20190508 20190517 20190619 20190916
29,002140,20190611 20190612 20190621 20190702 20190819 20190820 20190905 20191111
30,002150,20181213 20190116 20190128
31,002210,20190124 20190425 20190429 20190430 20190614 20190626 20190926
32,002320,20190408
33,002360,20190116 20190415 20190916
34,002450,20190807
35,002630,20190424 20190510
36,002700,20190306 20190510 20190520
37,002720,20190327 20190523 20190917 20191114
38,002760,20190911 20190920
39,002780,20190503 20190611
40,002900,20190116
41,002990,20190327 20190412 20190416
42,002995,20190418 20190530 20191108
43,003010,20190111 20190117 20190522
44,003060,20190404 20191008 20191010 20191119
45,003160,20190429
46,003230,20190108
47,003280,20191115 20191118
48,003350,20190812 20190927 20191129
49,003490,20190415
50,003495,20190409 20190410 20190412
51,003520,20190131
52,003535,20190422
53,003560,20190211 20191111
54,003580,20191021 20191022 20191115
55,003850,20190322
56,004060,20190612 20190613
57,004100,20181218 20181219 20190111 20190115 20191106 20191203
58,004140,20190211 20190416
59,004270,20181204 20190507 20190514 20190515 20190624 20190812 20190827
60,004310,20190411 20190716 20190821
61,004380,20190325
62,004410,20190214
63,004430,20190703
64,004540,20190807
65,004710,20190813 20191126
66,004720,20190104
67,004770,20190201 20190522 20190909
68,004830,20190628 20190704 20190708
69,004870,20190821 20190822 20190904
70,004980,20190130
71,00499K,20190422
72,005070,20191008 20191024
73,005110,20181206 20190219 20190220 20190222 20190624 20190916 20190918
74,005320,20190625 20190626
75,005360,20190704 20190705 20190708 20190715 20191121
76,005390,20190705 20190708 20191018 20191121
77,005420,20190129
78,005690,20190124 20190125 20190717 20190801 20191023
79,005740,20190208 20190213 20190625 20190731
80,005745,20190805
81,006090,20190814 20190816 20190819 20190926
82,006120,20191127
83,006125,20191127
84,006280,20191031
85,006340,20190110
86,006390,20190130
87,006490,20190110 20190701 20191107 20191108
88,006840,20191107
89,006880,20190627 20190702
90,006890,20190306 20190411 20190723
91,006980,20190319 20190423 20190916 20190917 20190925
92,007110,20181207 20190131 20190201 20190207 20190619 20190624 20190910
93,007210,20181219 20190910
94,007460,20190308 20190404 20190405 20190820 20191008 20191010 20191119 20191126
95,007540,20190509 20190805 20190806
96,007630,20190325
97,007660,20190625 20191028
98,007700,20190207 20190215
99,007810,20191018
100,008040,20190221
101,008060,20190429 20190521
102,008350,20190516 20191014 20191029 20191111 20191113
103,008355,20190516 20191111
104,008420,20190107 20190212 20190614
105,008600,20191018 20191021
106,008700,20190425 20190503
107,008730,20190725 20190726 20190903
108,008775,20190829
109,008970,20190624
110,009070,20190212
111,009160,20190530
112,009270,20190103 20190116 20190517 20190701
113,009290,20190429 20190624
114,009310,20191115
115,009320,20181212 20181213 20190118 20190121 20190320 20190617 20190718 20190924
116,009410,20190123 20190527
117,009420,20181221 20191007
118,009450,20190308
119,009460,20190114 20190129 20190516 20191111
120,009470,20181219 20190717
121,009680,20190118 20190313
122,009810,20190611
123,009830,20190619 20191113
124,009835,20190417 20190419 20190422
125,010040,20181204 20190111 20190114 20190115 20191004
126,010100,20190906 20190909 20190919
127,010140,20181213
128,010400,20190405
